ddb id,taxon name,qualifier,authority,vernacular,canonical
2cd4p9h.ka9,Anthemis punctata,,Vahl,Sicilian Chamomile,Anthemis punctata
2cd4p9h.ybp,Anthemis tinctoria,,L.,Yellow Chamomile,Anthemis tinctoria
2cd4p9h.bx4,Anthoxanthum aristatum,,Boiss.,Annual Vernal-grass,Anthoxanthum aristatum
2cd4p9h.xaq,Anthoxanthum odoratum,,L.,Sweet Vernal-grass,Anthoxanthum odoratum
2cd4p9h.ybs,Anthriscus caucalis,,M.Bieb.,Bur Chervil,Anthriscus caucalis
2cd4p9h.7ss,Anthriscus cerefolium,,(L.) Hoffm.,Garden Chervil,Anthriscus cerefolium
2cd4p9h.v7e,Anthriscus sylvestris,,(L.) Hoffm.,Cow Parsley,Anthriscus sylvestris
2cd4p9h.f03,Anthyllis vulneraria,,L.,Kidney Vetch,Anthyllis vulneraria
2cd4p9h.bx7,Anthyllis vulneraria subsp. carpatica,,(Pant.) Nyman,,Anthyllis vulneraria subsp. carpatica
2cd4p9h.xat,Anthyllis vulneraria subsp. lapponica,,(Hyl.) Jalas,,Anthyllis vulneraria subsp. lapponica
2cd4p9h.bxa,Anthyllis vulneraria subsp. polyphylla,,(DC.) Nyman,,Anthyllis vulneraria subsp. polyphylla
2cd4p9h.yc3,Antirrhinum majus,,L.,Snapdragon,Antirrhinum majus
2cd4p9h.4nr,Apera interrupta,,(L.) P.Beauv.,Dense Silky-bent,Apera interrupta
2cd4p9h.f0f,Apera spica-venti,,(L.) P.Beauv.,Loose Silky-bent,Apera spica-venti
2cd4p9h.f0v,Aphanes arvensis,agg.,L.,Parsley Piert,Aphanes arvensis
2cd4p9h.hg,Aphanes arvensis,s.s.,L.,Parsley-piert,Aphanes arvensis
2cd4p9h.f0x,Aphanes australis,,Rydb.,Slender Parsley-piert,Aphanes australis
2cd4p9h.v7h,Apium graveolens,,L.,Wild Celery,Apium graveolens
2cd4p9h.f0r,Apium inundatum,,(L.) Rchb.f.,Lesser Marshwort,Apium inundatum
2cd4p9h.4f8,Apium inundatum x nodiflorum = A. x moorei,,(Syme) Druce,,Apium x moorei
2cd4p9h.f0z,Apium nodiflorum,,(L.) Lag.,Fool's-water-cress,Apium nodiflorum
2cd4p9h.777,Apium nodiflorum x repens,,,Sypflodeuog Dyfrforonen,Apium nodiflorum x repens
2cd4p9h.7tr,Apium repens,,(Jacq.) Lag.,Creeping Marshwort,Apium repens
2cd4p9h.7y5,Aponogeton distachyos,,L.f.,Cape-pondweed,Aponogeton distachyos
2cd4p9h.edz,Aptenia cordifolia,,(L.f.) Schwantes,Heart-leaf Iceplant,Aptenia cordifolia
2cd4p9h.eeb,Aquilegia pyrenaica,,DC.,Pyrenean Columbine,Aquilegia pyrenaica
2cd4p9h.yc6,Aquilegia vulgaris,,L.,Columbine,Aquilegia vulgaris
2cd4p9h.83ng3m,Arabidopsis arenosa,,(L.) Lawalrée,Sand Rock-cress,Arabidopsis arenosa
2cd4p9h.83ng3h,Arabidopsis petraea,,(L.) V.I.Dorof.,Northern Rock-cress,Arabidopsis petraea
2cd4p9h.xb4,Arabidopsis thaliana,,(L.) Heynh.,Thale Cress,Arabidopsis thaliana
2cd4p9h.426,Arabis alpina,,L.,Alpine Rock-cress,Arabis alpina
2cd4p9h.f12,Arabis caucasica,,Willd. ex Schltdl.,Garden Arabis,Arabis caucasica
2cd4p9h.q2n,Arabis collina,,Ten.,Rosy Cress,Arabis collina
2cd4p9h.hm,Arabis hirsuta,,(L.) Scop.,Hairy Rock-cress,Arabis hirsuta
2cd4p9h.b1v,Arabis procurrens,,Waldst. & Kit.,,Arabis procurrens
2cd4p9h.xb7,Arabis scabra,,All.,Bristol Rock-cress,Arabis scabra
2cd4p9h.qkb,Arachis hypogaea,,L.,Peanut,Arachis hypogaea
2cd4p9h.77d,Aralia chinensis,,L.,Chinese Angelica-tree,Aralia chinensis
2cd4p9h.dty,Aralia elata,,(Miq.) Seem.,Japanese Angelica-tree,Aralia elata
2cd4p9h.nd9,Aralia racemosa,,L.,American-spikenard,Aralia racemosa
2cd4p9h.d3e,Araucaria araucana,,(Molina) K.Koch,Monkey-puzzle,Araucaria araucana
2cd4p9h.f18,Arbutus unedo,,L.,Strawberry-tree,Arbutus unedo
2cd4p9h.xba,Arctium lappa,,L.,Greater Burdock,Arctium lappa
2cd4p9h.3fc,Arctium lappa x minus = A. x nothum,,(Ruhmer) J.Weiss,,Arctium x nothum
2cd4p9h.3hkcyn,Arctium minus,s.l.,,,Arctium minus
2cd4p9h.r6x,Arctium tomentosum,,Mill.,Woolly Burdock,Arctium tomentosum
2cd4p9h.v7k,Arctostaphylos alpinus,,(L.) Spreng.,Alpine Bearberry,Arctostaphylos alpinus
2cd4p9h.4y5,Arctostaphylos uva-ursi,,(L.) Spreng.,Bearberry,Arctostaphylos uva-ursi
2cd4p9h.7ft,Arctotheca calendula,,(L.) Levyns,Plain Treasureflower,Arctotheca calendula
2cd4p9h.hqb,Aremonia agrimonoides,,(L.) DC.,Bastard Agrimony,Aremonia agrimonoides
2cd4p9h.v6,Arenaria balearica,,L.,Mossy Sandwort,Arenaria balearica
2cd4p9h.v9,Arenaria ciliata,,L.,Fringed Sandwort,Arenaria ciliata
2cd4p9h.6ntgzz,Arenaria leptoclados,,(Rchb.) Guss.,,Arenaria leptoclados
2cd4p9h.aev,Arenaria montana,,L.,Large-flowered Sandwort,Arenaria montana
2cd4p9h.ycc,Arenaria norvegica subsp. anglica,,G.Halliday,English Sandwort,Arenaria norvegica subsp. anglica
2cd4p9h.ycf,Arenaria norvegica subsp. norvegica,,Gunnerus,Arctic Sandwort,Arenaria norvegica subsp. norvegica
2cd4p9h.31ed85,Arenaria serpyllifolia,s.l.,,,Arenaria serpyllifolia
2cd4p9h.vc,Arenaria serpyllifolia,s.s.,L.,Thyme-leaved Sandwort,Arenaria serpyllifolia
