gr,freq
X07,1
X17,4
X28,5
X29,2
X38,1
X39,5
X49,5
X59,2
X69,2
X79,4
X99,3
WA50,5
WA60,1
WV27,10
WV28,1
WV37,5
WV38,7
WV47,6
WV55,8
WV54,4
WV64,7
WV65,8
WV74,2
WV75,3
WV76,1
